AnimalID,FoundLocation,Latitude,Longtitude,IntakeDate,Type,LooksLike,Color,Sex,Age,ImageLink
A771507,4900 CREEK BEND DRIVE AUSTIN 78744  ,30.183502,-97.748365,5/6/2018,Cat,Domestic Longhair,Orange Tabby/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771507
A771508,18504 EAST LAKE TERRACE DRIVE JONESTOWN 78645  ,30.49955,-97.921263,5/6/2018,Cat,Domestic Medium Hair Mix,Orange Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771508
A771518,9307 HUNTERS TRACE AUSTIN 78758  ,30.368794,-97.7099,5/6/2018,Cat,Domestic Shorthair Mix,Black,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771518
A771532,2315 TOWN LAKE AUSTIN 78741  ,30.239885,-97.72416,5/6/2018,Dog,Chihuahua Shorthair Mix,Brown/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771532
A771533,2315 TOWN LAKE AUSTIN 78741  ,30.239885,-97.72416,5/6/2018,Dog,Chihuahua Shorthair Mix,Brown/White,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771533
A771538,8407 COULVER ROAD AUSTIN 78747  ,30.118387,-97.728531,5/6/2018,Dog,Border Collie,White/Black,Intact Female,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771538
A771541,4608 SILVERSTONE AUSTIN 78744  ,30.173917,-97.75898,5/6/2018,Dog,Labrador Retriever Mix,Black,Intact Female,4 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771541
A769292,7000 DECKER LANE AUSTIN 78724  ,30.296097,-97.624846,5/6/2018,Dog,Labrador Retriever Mix,Brown/White,Neutered Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A769292
A771544,AUSTIN 78703  ,30.291285,-97.763975,5/6/2018,Cat,Domestic Shorthair Mix,Calico,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771544
A762295,MATHRA COVE DEL VALLE 78617  ,30.157123,-97.611102,5/6/2018,Dog,Great Pyrenees Mix,White,Neutered Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A762295
A771539,5705 CAROLINE AUSTIN 78724  ,30.255785,-97.575482,5/6/2018,Dog,Chihuahua Longhair Mix,Black/Tricolor,Intact Female,8 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771539
A771547,4411 TERI ROAD AUSTIN 78741  ,30.197625,-97.745445,5/6/2018,Dog,Siberian Husky,Black/Gray,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771547
A771555,10805 WATCHFUL FOX DRIVE AUSTIN 78748  ,30.154981,-97.816668,5/6/2018,Dog,Bluetick Hound Mix,Black/Tricolor,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771555
A771558,11726 MANCHACA ROAD AUSTIN 78749  ,30.149423,-97.833157,5/6/2018,Dog,Chihuahua Shorthair Mix,Brown,Intact Male,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771558
A771561,4416 LAREINA DRIVE AUSTIN 78745  ,30.21907,-97.771214,5/6/2018,Dog,Great Pyrenees Mix,White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771561
A771562,613 WEST 31ST HALF STREET AUSTIN 78705  ,30.298246,-97.741988,5/6/2018,Cat,Domestic Shorthair Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771562
A771565,8319 PEACEFUL HILL LANE AUSTIN 78748  ,30.177847,-97.790392,5/6/2018,Dog,Maltese Mix,White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771565
A771566,8319 PEACEFUL HILL LANE AUSTIN 78748  ,30.177847,-97.790392,5/6/2018,Dog,Maltese Mix,White,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771566
A771567,7203 GENEVA DRIVE AUSTIN 78723  ,30.320365,-97.673081,5/6/2018,Dog,Chihuahua Shorthair Mix,White,Unknown,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771567
A771568,7203 GENEVA DRIVE AUSTIN 78723  ,30.320365,-97.673081,5/6/2018,Dog,Chihuahua Shorthair Mix,Brown/White,Unknown,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771568
A771569,1820 WEST STASSNEY LANE AUSTIN 78745  ,30.214831,-97.796329,5/6/2018,Cat,Domestic Shorthair Mix,Gray Tabby,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771569
